bin,avg_amp,N_avg_amp,,freq,N_freq
   0,    5,        0,,    72700787.401575,     0
   1,   15,        0,,    72750000.000000,     0
   2,   25,        0,,    72799212.598425,     0
   3,   35,        0,,    72848425.196850,     0
   4,   45,        0,,    72897637.795276,     0
   5,   55,        0,,    72946850.393701,     0
   6,   65,        0,,    72996062.992126,     0
   7,   75,    30074,,    73045275.590551,     0
   8,   85,    22041,,    73094488.188976,     0
   9,   95,    15901,,    73143700.787402,     0
  10,  105,    10876,,    73192913.385827,     0
  11,  115,     7224,,    73242125.984252,     0
  12,  125,     4762,,    73291338.582677,     0
  13,  135,     2838,,    73340551.181102,     0
  14,  145,     1742,,    73389763.779528,     0
  15,  155,     1002,,    73438976.377953,     0
  16,  165,      553,,    73488188.976378,     0
  17,  175,      281,,    73537401.574803,     0
  18,  185,      117,,    73586614.173228,     0
  19,  195,       69,,    73635826.771654,     0
  20,  205,       31,,    73685039.370079,     4
  21,  215,       19,,    73734251.968504,     0
  22,  225,        4,,    73783464.566929,     0
  23,  235,        3,,    73832677.165354,     1
  24,  245,        0,,    73881889.763780,     0
  25,  255,        0,,    73931102.362205,     0
  26,  265,        0,,    73980314.960630,     0
  27,  275,        0,,    74029527.559055,     0
  28,  285,        0,,    74078740.157480,     0
  29,  295,        0,,    74127952.755906,     0
  30,  305,        0,,    74177165.354331,     0
  31,  315,        0,,    74226377.952756,     1
  32,  325,        0,,    74275590.551181,     3
  33,  335,        0,,    74324803.149606,     0
  34,  345,        0,,    74374015.748031,     3
  35,  355,        0,,    74423228.346457,    18
  36,  365,        0,,    74472440.944882,     1
  37,  375,        0,,    74521653.543307,     1
  38,  385,        0,,    74570866.141732,     3
  39,  395,        0,,    74620078.740157,     0
  40,  405,        0,,    74669291.338583,     0
  41,  415,        0,,    74718503.937008,     2
  42,  425,        0,,    74767716.535433,     4
  43,  435,        0,,    74816929.133858,     0
  44,  445,        0,,    74866141.732283,    24
  45,  455,        0,,    74915354.330709, 97186
  46,  465,        0,,    74964566.929134,   106
  47,  475,        0,,    75013779.527559,     5
  48,  485,        0,,    75062992.125984,     3
  49,  495,        0,,    75112204.724409,     0
  50,  505,        0,,    75161417.322835,     1
  51,  515,        0,,    75210629.921260,     1
  52,  525,        0,,    75259842.519685,     4
  53,  535,        0,,    75309055.118110,     0
  54,  545,        0,,    75358267.716535,     1
  55,  555,        0,,    75407480.314961,     0
  56,  565,        0,,    75456692.913386,    46
  57,  575,        0,,    75505905.511811,     0
  58,  585,        0,,    75555118.110236,     0
  59,  595,        0,,    75604330.708661,     1
  60,  605,        0,,    75653543.307087,     0
  61,  615,        0,,    75702755.905512,     0
  62,  625,        0,,    75751968.503937,     1
  63,  635,        0,,    75801181.102362,     0
  64,  645,        0,,    75850393.700787,     2
  65,  655,        0,,    75899606.299213,     5
  66,  665,        0,,    75948818.897638,     1
  67,  675,        0,,    75998031.496063,     0
  68,  685,        0,,    76047244.094488,     0
  69,  695,        0,,    76096456.692913,     0
  70,  705,        0,,    76145669.291339,     9
  71,  715,        0,,    76194881.889764,     0
  72,  725,        0,,    76244094.488189,     0
  73,  735,        0,,    76293307.086614,     1
  74,  745,        0,,    76342519.685039,     1
  75,  755,        0,,    76391732.283465,     0
  76,  765,        0,,    76440944.881890,     1
  77,  775,        0,,    76490157.480315,     0
  78,  785,        0,,    76539370.078740,     0
  79,  795,        0,,    76588582.677165,     0
  80,  805,        0,,    76637795.275591,     1
  81,  815,        0,,    76687007.874016,     0
  82,  825,        0,,    76736220.472441,     1
  83,  835,        0,,    76785433.070866,     1
  84,  845,        0,,    76834645.669291,     0
  85,  855,        0,,    76883858.267717,     2
  86,  865,        0,,    76933070.866142,     0
  87,  875,        0,,    76982283.464567,     4
  88,  885,        0,,    77031496.062992,     5
  89,  895,        0,,    77080708.661417,     0
  90,  905,        0,,    77129921.259843,     0
  91,  915,        0,,    77179133.858268,     1
  92,  925,        0,,    77228346.456693,     1
